yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;toplam_yolculuk_sayisi
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU KADIKOY;121832;196400
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınaladı;2994;8433
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;4281;8219
2024;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Yeni Kabataş;14;14
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;892;1335
2024;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;12031;34882
2024;1;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahbap İskele;1707;2410
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bostancı;10272;23780
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çubuklu;486;809
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;166591;273164
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;4804;9638
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;6197;11425
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy Yeni;3;3
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Büyükada;13655;31311
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BESIKTAS;10706;21256
2024;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;12291;21294
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);10376;19115
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Bebek;7198;12571
2024;1;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;36286;56873
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;330;1232
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BUYUKADA;28223;65752
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;1874;2629
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;156734;281804
2024;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybeliada;4006;11213
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;3289;5572
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Küçüksu;5799;14687
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;HEYBELIADA;9665;27591
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Hisarı;5743;12556
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;1045;3459
2024;1;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;;417;435
2024;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;5295;10032
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;124787;200010
2024;1;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Üsküdar;250156;605992
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;;97;99
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY ESKI;138791;208499
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;104147;159525
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;10389;37043
2024;1;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Heybeliada;6141;15617
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;1476;4120
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;10129;20299
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kasımpaşa;14132;29003
2024;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Topçular;5208;9868
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Rumeli Kavağı;1911;3174
2024;1;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;11639;20092
2024;1;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yenikapı;1;1
2024;1;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;;1336;1559
