_id,tarih,ilce_kodu,ilce,satis_adedi
1,2015-01-01,2048,Arnavutköy,156
2,2015-01-01,2049,Ataşehir,434
3,2015-01-01,2003,Avcılar,466
4,2015-01-01,2004,Bağcılar,308
5,2015-01-01,2005,Bahçelievler,650
6,2015-01-01,1166,Bakırköy,230
7,2015-01-01,2050,Başakşehir,395
8,2015-01-01,1886,Bayrampaşa,297
9,2015-01-01,1183,Beşiktaş,229
10,2015-01-01,1185,Beykoz,34
11,2015-01-01,2051,Beylikdüzü,810
12,2015-01-01,1186,Beyoğlu,180
13,2015-01-01,1782,Büyükçekmece,437
14,2015-01-01,2052,Çekmeköy,379
15,2015-01-01,2016,Esenler,238
16,2015-01-01,2053,Esenyurt,3408
17,2015-01-01,1325,Eyüpsultan,309
18,2015-01-01,1327,Fatih,340
19,2015-01-01,1336,Gaziosmanpaşa,386
20,2015-01-01,2010,Güngören,225
21,2015-01-01,1421,Kadıköy,459
22,2015-01-01,1810,Kağıthane,398
23,2015-01-01,1449,Kartal,563
24,2015-01-01,1823,Küçükçekmece,581
25,2015-01-01,2012,Maltepe,461
26,2015-01-01,1835,Pendik,760
27,2015-01-01,2054,Sancaktepe,647
28,2015-01-01,1604,Sarıyer,196
29,2015-01-01,1622,Silivri,241
30,2015-01-01,1663,Şişli,316
31,2015-01-01,2014,Sultanbeyli,74
32,2015-01-01,2055,Sultangazi,460
33,2015-01-01,2015,Tuzla,255
34,2015-01-01,1852,Ümraniye,628
35,2015-01-01,1708,Üsküdar,321
36,2015-01-01,1739,Zeytinburnu,190
37,2015-02-01,2048,Arnavutköy,225
38,2015-02-01,2049,Ataşehir,412
39,2015-02-01,2003,Avcılar,549
40,2015-02-01,2004,Bağcılar,303
41,2015-02-01,2005,Bahçelievler,636
42,2015-02-01,1166,Bakırköy,234
43,2015-02-01,2050,Başakşehir,577
44,2015-02-01,1886,Bayrampaşa,231
45,2015-02-01,1183,Beşiktaş,207
46,2015-02-01,1185,Beykoz,33
47,2015-02-01,2051,Beylikdüzü,790
48,2015-02-01,1186,Beyoğlu,220
49,2015-02-01,1782,Büyükçekmece,463
50,2015-02-01,2052,Çekmeköy,418
51,2015-02-01,2016,Esenler,230
52,2015-02-01,2053,Esenyurt,3134
53,2015-02-01,1325,Eyüpsultan,288
54,2015-02-01,1327,Fatih,420
55,2015-02-01,1336,Gaziosmanpaşa,548
56,2015-02-01,2010,Güngören,227
57,2015-02-01,1421,Kadıköy,566
58,2015-02-01,1810,Kağıthane,511
59,2015-02-01,1449,Kartal,620
60,2015-02-01,1823,Küçükçekmece,547
61,2015-02-01,2012,Maltepe,612
62,2015-02-01,1835,Pendik,853
63,2015-02-01,2054,Sancaktepe,713
64,2015-02-01,1604,Sarıyer,179
65,2015-02-01,1622,Silivri,288
66,2015-02-01,1663,Şişli,348
67,2015-02-01,2014,Sultanbeyli,57
68,2015-02-01,2055,Sultangazi,510
69,2015-02-01,2015,Tuzla,285
70,2015-02-01,1852,Ümraniye,749
71,2015-02-01,1708,Üsküdar,359
72,2015-02-01,1739,Zeytinburnu,203
73,2015-03-01,2048,Arnavutköy,331
74,2015-03-01,2049,Ataşehir,680
75,2015-03-01,2003,Avcılar,673
76,2015-03-01,2004,Bağcılar,358
77,2015-03-01,2005,Bahçelievler,751
78,2015-03-01,1166,Bakırköy,313
79,2015-03-01,2050,Başakşehir,525
80,2015-03-01,1886,Bayrampaşa,360
81,2015-03-01,1183,Beşiktaş,263
82,2015-03-01,1185,Beykoz,67
83,2015-03-01,2051,Beylikdüzü,1041
84,2015-03-01,1186,Beyoğlu,231
85,2015-03-01,1782,Büyükçekmece,568
86,2015-03-01,2052,Çekmeköy,489
87,2015-03-01,2016,Esenler,319
88,2015-03-01,2053,Esenyurt,4090
89,2015-03-01,1325,Eyüpsultan,553
90,2015-03-01,1327,Fatih,441
91,2015-03-01,1336,Gaziosmanpaşa,698
92,2015-03-01,2010,Güngören,252
93,2015-03-01,1421,Kadıköy,710
94,2015-03-01,1810,Kağıthane,601
95,2015-03-01,1449,Kartal,645
96,2015-03-01,1823,Küçükçekmece,697
97,2015-03-01,2012,Maltepe,639
98,2015-03-01,1835,Pendik,977
99,2015-03-01,2054,Sancaktepe,787
100,2015-03-01,1604,Sarıyer,266
101,2015-03-01,1622,Silivri,387
102,2015-03-01,1663,Şişli,381
103,2015-03-01,2014,Sultanbeyli,95
104,2015-03-01,2055,Sultangazi,540
105,2015-03-01,2015,Tuzla,519
106,2015-03-01,1852,Ümraniye,853
107,2015-03-01,1708,Üsküdar,461
108,2015-03-01,1739,Zeytinburnu,201
109,2015-04-01,2048,Arnavutköy,378
110,2015-04-01,2049,Ataşehir,762
111,2015-04-01,2003,Avcılar,671
112,2015-04-01,2004,Bağcılar,383
113,2015-04-01,2005,Bahçelievler,814
114,2015-04-01,1166,Bakırköy,290
115,2015-04-01,2050,Başakşehir,833
116,2015-04-01,1886,Bayrampaşa,396
117,2015-04-01,1183,Beşiktaş,296
118,2015-04-01,1185,Beykoz,45
119,2015-04-01,2051,Beylikdüzü,1207
120,2015-04-01,1186,Beyoğlu,264
121,2015-04-01,1782,Büyükçekmece,594
122,2015-04-01,2052,Çekmeköy,440
123,2015-04-01,2016,Esenler,284
124,2015-04-01,2053,Esenyurt,3794
125,2015-04-01,1325,Eyüpsultan,458
126,2015-04-01,1327,Fatih,414
127,2015-04-01,1336,Gaziosmanpaşa,549
128,2015-04-01,2010,Güngören,263
129,2015-04-01,1421,Kadıköy,803
130,2015-04-01,1810,Kağıthane,642
131,2015-04-01,1449,Kartal,850
132,2015-04-01,1823,Küçükçekmece,715
133,2015-04-01,2012,Maltepe,728
134,2015-04-01,1835,Pendik,1009
135,2015-04-01,2054,Sancaktepe,903
136,2015-04-01,1604,Sarıyer,270
137,2015-04-01,1622,Silivri,399
138,2015-04-01,1663,Şişli,387
139,2015-04-01,2014,Sultanbeyli,74
140,2015-04-01,2055,Sultangazi,622
141,2015-04-01,2015,Tuzla,790
142,2015-04-01,1852,Ümraniye,940
143,2015-04-01,1708,Üsküdar,473
144,2015-04-01,1739,Zeytinburnu,303
145,2015-05-01,2048,Arnavutköy,338
146,2015-05-01,2049,Ataşehir,526
147,2015-05-01,2003,Avcılar,667
148,2015-05-01,2004,Bağcılar,326
149,2015-05-01,2005,Bahçelievler,683
150,2015-05-01,1166,Bakırköy,255
151,2015-05-01,2050,Başakşehir,916
152,2015-05-01,1886,Bayrampaşa,323
153,2015-05-01,1183,Beşiktaş,208
154,2015-05-01,1185,Beykoz,56
155,2015-05-01,2051,Beylikdüzü,1081
156,2015-05-01,1186,Beyoğlu,208
157,2015-05-01,1782,Büyükçekmece,518
158,2015-05-01,2052,Çekmeköy,383
159,2015-05-01,2016,Esenler,274
160,2015-05-01,2053,Esenyurt,3745
161,2015-05-01,1325,Eyüpsultan,395
162,2015-05-01,1327,Fatih,398
163,2015-05-01,1336,Gaziosmanpaşa,561
164,2015-05-01,2010,Güngören,247
165,2015-05-01,1421,Kadıköy,719
166,2015-05-01,1810,Kağıthane,577
167,2015-05-01,1449,Kartal,663
